gender,C_api,C_man,E_NEds,E_Bpag,firstDay,lastDay,NEds,NPages,NPcreated,weightIJ,NIJ,NDays,NActDays,pagesWomen,wikiprojWomen,ns_user,ns_wikipedia,ns_talk,ns_userTalk,ns_content
1,unknown,1,1,2,20210228180114,20240406213911,50,36,1,0.9213759707824443,75,30179,6521,1,49,43,43,28,49,47
2,female,1,1,1,20210326164905,20240726023026,7,30,2,1.0338180906265815,26,30400,12024,2,5,2,7,1,0,4
2,female,2,3,3,20220906043107,20240814041958,18,21,19,1.3578813222947166,72,19908,18375,6,8,13,10,2,17,3
1,male,2,2,2,20230203193803,20240416185146,9,12,13,1.3807784336594797,96,10213,1145,0,9,3,2,2,0,1
2,female,1,2,2,20220603135210,20220922173534,55,16,5,0.9399663390611208,46,320,225,20,51,5,42,29,4,28
2,female,1,0,1,20200723111928,20230118235852,84,39,12,1.2494901827649127,78,29396,3546,25,10,46,50,59,64,56
2,unknown,1,3,2,20220901223237,20240920122309,10,38,14,1.2190185668506526,94,20019,16814,1,0,1,8,9,7,5
2,female,1,3,1,20210411030335,20290115013214,57,40,11,0.6057228384982568,56,79704,49726,57,19,5,23,36,53,18
1,unknown,2,0,1,20211211231231,20281008144633,47,1,14,0.7336685202414591,79,69797,24000,3,8,39,14,17,41,42
0,unknown,1,1,1,20210612175606,20260503155412,82,49,8,0.6336691205549374,12,49891,37592,77,52,23,78,42,73,24
2,female,1,1,0,20200501225046,20230511021234,36,35,9,0.9729709614067089,62,30010,23098,7,20,34,29,2,22,21
2,male,2,3,3,20230815073046,20240821204706,42,3,15,0.6017002478883766,48,10007,8231,0,8,26,0,36,5,2
1,female,2,1,3,20200620134022,20210705061237,85,19,9,1.2543333962496552,94,10085,8645,51,8,4,55,67,67,38
0,female,2,3,1,20220224030620,20230831135605,93,26,15,0.6714537395141363,58,10608,8359,86,35,59,38,8,16,28
1,male,3,1,3,20230918172113,20240822075604,46,23,17,1.2144648028654452,3,9904,984,36,33,34,12,12,13,5
1,female,1,0,1,20200411102129,20230421062705,82,43,9,1.3286757126160444,72,30010,27173,10,74,43,58,40,35,73
1,female,1,1,1,20201201000059,20270727160132,10,41,4,0.7568877858971589,71,69527,15249,0,0,10,2,10,9,4
1,female,1,2,1,20200522171053,20211001142309,10,6,10,1.289131882317076,43,10479,6351,1,1,5,7,4,4,5
0,female,2,0,0,20200921191848,20201011132931,25,18,6,1.496386350361064,56,90,39,2,7,20,24,20,23,17
0,female,1,3,2,20240502121731,20240813140824,39,21,0,0.8631510574666139,96,312,167,26,1,36,18,25,36,2
1,female,2,3,3,20200501065604,20250714194100,56,43,0,0.9237795633187486,26,50214,36951,18,50,47,21,14,17,12
0,male,2,3,1,20221010180143,20240904092232,99,22,18,0.6010349446063985,82,19894,13761,26,4,87,10,68,34,47
1,male,2,1,0,20221118091706,20230626140801,21,38,17,0.5265225813136737,57,9509,2907,16,21,16,20,17,11,8
2,female,2,1,3,20230504034200,20290808040001,95,24,8,0.572701727546122,32,60305,32369,51,61,69,59,71,87,49
2,female,1,0,2,20200318135259,20270816101922,20,10,4,0.5218303834509733,43,70498,54423,17,20,11,10,16,13,20
2,male,2,1,2,20210718030333,20240620201455,94,43,18,0.7651526756224496,95,29903,13863,86,50,62,23,19,45,68
0,male,1,1,2,20230306115603,20281202160713,59,41,5,0.6523599370616526,7,50897,39433,4,45,38,4,53,4,29
2,male,2,0,0,20210516203217,20230412053246,11,7,9,0.7513723928428209,59,19896,6857,5,5,7,1,4,6,11
