gender,C_api,C_man,E_NEds,E_Bpag,firstDay,lastDay,NEds,NDays,NActDays,NPages,NPcreated,pagesWomen,wikiprojWomen,ns_user,ns_wikipedia,ns_talk,ns_userTalk,ns_content,weightIJ,NIJ
1,male,3,0,0,20062996168054,20062996750746,10,1,1,32,0,9,8,3,2,9,7,4,1.3086755411645403,15
0,unknown,1,1,3,20147158481001,20147159447897,73,1,1,9,16,16,59,6,47,12,40,34,0.8418319660157216,63
0,female,3,1,1,20175847185239,20175847607699,64,1,1,30,11,7,41,63,13,53,13,8,0.5889489373631684,27
2,male,3,2,2,20019847049471,20019847417909,71,1,1,20,5,43,60,57,68,38,29,19,1.0936655654612821,36
1,unknown,2,1,1,20184471232504,20184471461422,36,1,1,29,15,2,30,29,18,33,20,13,0.8277404782267781,52
0,female,1,2,2,20082101152702,20082102051810,97,1,1,15,6,48,13,81,59,61,43,0,1.3182873150533534,3
1,female,1,0,1,20009080522467,20009081209925,73,1,1,2,17,30,1,36,49,20,47,31,0.9222403038511239,52
2,unknown,3,1,1,20109452923650,20109453591218,94,1,1,6,13,56,80,36,69,54,84,82,1.2436671946478193,38
2,male,2,3,1,20157434032475,20157434876899,62,1,1,8,14,13,57,11,45,17,24,38,1.2744195374638072,77
1,unknown,3,2,1,20214130055941,20214130696751,73,1,1,24,5,64,67,68,35,1,8,10,0.6708990316479736,11
2,female,1,3,0,20046688931379,20046689464697,87,1,1,17,10,64,64,28,37,0,6,6,1.417407567041277,50
2,male,1,1,1,20165983812077,20165984491973,81,1,1,34,4,76,43,74,22,46,49,50,1.3364342692960096,72
1,male,2,1,2,20130682896457,20130683723701,3,1,1,47,7,1,0,0,2,2,1,1,1.2723192225553888,89
2,unknown,3,3,3,20186864958127,20186865877212,15,1,1,30,16,10,9,14,12,14,4,8,0.6993588992625364,48
2,female,3,3,1,20177546593181,20177547130632,50,1,1,42,7,27,36,8,5,8,48,32,1.1639312888174527,27
1,unknown,1,1,2,20220468076585,20220468360472,8,1,1,17,6,6,4,2,7,0,6,0,0.6896323152015824,52
0,male,2,3,3,20228051311596,20228051934833,17,1,1,23,7,7,5,5,5,3,1,9,1.2610753878907444,34
1,unknown,1,2,0,20014266106082,20014266673755,47,1,1,32,1,31,28,0,44,27,15,13,1.4658065206645605,80
0,female,2,1,2,20111207885171,20111207997059,54,1,1,1,4,41,20,6,35,36,25,22,1.4352431117228448,86
1,male,2,2,0,20093833390239,20093834229501,9,1,1,36,3,2,4,7,5,1,5,2,0.7638916511660954,98
0,male,2,3,1,20021201537997,20021202368680,46,1,1,28,18,6,24,38,29,27,18,41,1.4069480777943837,92
1,male,3,1,0,20151200628734,20151201251521,67,1,1,45,2,52,22,37,22,61,58,27,1.3831635052095057,80
0,male,2,0,0,20118290035082,20118290191587,46,1,1,44,8,26,10,29,4,16,3,17,0.6224790631853588,61
2,unknown,1,3,3,20111223385833,20111223595125,72,1,1,29,18,69,12,46,34,3,19,6,0.8779989104851262,42
1,unknown,2,0,3,20175403900605,20175404300474,61,1,1,33,19,47,2,37,24,48,26,5,0.6731340877013494,37
2,female,2,3,2,20189528518909,20189529215794,78,1,1,9,15,23,74,51,55,8,46,11,1.159849268199702,81
2,female,2,1,3,20127276369841,20127276705975,13,1,1,38,14,4,9,1,10,9,2,9,1.203323753214979,39
2,male,1,1,2,20066523200670,20066523534882,94,1,1,6,1,38,3,21,75,63,27,6,1.0190742554418581,54
0,female,1,1,1,20124773446541,20124774028879,36,1,1,23,18,15,30,19,18,28,5,0,1.406572040881555,74
1,male,1,0,2,20128457539313,20128457576755,92,1,1,34,12,10,78,44,41,51,78,1,1.1806666029516162,20
1,male,2,1,0,20155082694695,20155083313500,13,1,1,44,19,6,1,11,11,3,6,6,1.0748438304007133,79
