gender,C_api,C_man,E_NEds,E_Bpag,firstDay,lastDay,NEds,NDays,NActDays,NPages,NPcreated,pagesWomen,wikiprojWomen,ns_user,ns_wikipedia,ns_talk,ns_userTalk,ns_content,weightIJ,NIJ
1,male,1,3,0,20200410900062,20200411664275,61,1,1,37,8,56,34,18,51,53,2,39,1.271395738050114,83
2,female,1,3,3,20153462148989,20153462847242,54,1,1,38,16,36,13,27,26,30,25,28,1.3067569260309,65
0,male,3,3,1,20046997994101,20046998765997,6,1,1,22,1,4,0,4,1,5,4,4,0.7258257722368009,61
1,male,1,1,1,20154045167582,20154045622439,61,1,1,15,6,20,20,0,45,23,40,46,0.7552997464093228,47
1,female,1,1,0,20139658247453,20139658576822,89,1,1,38,11,54,84,11,46,41,71,61,1.384966478809654,96
2,unknown,3,0,1,20049212034200,20049213021685,62,1,1,23,14,37,57,21,26,45,31,4,1.1274047475247582,37
0,female,2,1,0,20095909523592,20095909922639,87,1,1,7,18,37,32,69,10,33,57,24,1.3040029091250034,98
2,female,1,3,2,20083253434075,20083254124171,22,1,1,40,4,16,21,11,2,7,0,14,0.8938949787936975,37
0,male,1,1,2,20049874869779,20049875866471,51,1,1,29,11,21,48,3,24,11,48,43,0.8200746934947029,72
0,male,3,3,2,20001612163050,20001612746115,97,1,1,6,3,67,49,69,83,91,25,60,1.4238262127398351,66
1,female,1,3,0,20127195182463,20127196002881,46,1,1,25,12,19,7,2,36,32,22,22,0.5432603303724466,81
1,male,1,0,0,20029924236553,20029924294280,65,1,1,35,4,10,43,60,19,55,53,5,1.0654309689490808,91
1,male,3,0,2,20165716530008,20165717488036,66,1,1,39,0,58,46,59,1,10,55,40,1.1466353632426256,71
1,male,1,0,2,20197600830987,20197601058325,82,1,1,37,6,80,76,43,63,52,0,75,0.8041963122731771,46
1,male,1,1,2,20158298113943,20158298861698,10,1,1,7,10,1,7,3,4,5,2,7,1.3181396669802121,30
2,female,3,1,0,20039437845398,20039438590361,1,1,1,43,6,0,0,0,0,0,0,0,0.7665351074626441,52
1,unknown,1,2,3,20114428299252,20114428886222,77,1,1,5,2,44,66,53,20,11,15,65,1.1007686875484186,59
1,male,1,0,0,20160537226871,20160537960993,61,1,1,1,7,53,48,21,55,25,33,58,1.341212724198723,82
1,male,1,0,0,20218478102825,20218478604754,71,1,1,4,7,53,25,23,10,25,49,33,0.9546551591165794,80
1,unknown,3,2,2,20161824231649,20161825163395,83,1,1,33,9,41,62,76,17,67,54,15,1.0315488759460596,72
2,female,1,2,2,20137186143198,20137186882612,89,1,1,42,18,4,86,27,28,26,57,13,0.9156304836102427,88
2,female,1,3,0,20161732996706,20161733035996,42,1,1,41,12,3,21,21,27,11,15,27,1.0831962068058418,31
2,male,1,3,1,20111952932239,20111953767033,24,1,1,47,16,18,5,10,8,2,6,8,1.1079562930822378,20
1,unknown,1,3,3,20196989042647,20196989220191,75,1,1,17,7,21,29,71,67,24,71,72,0.5812364641437813,60
1,female,1,2,0,20175221119296,20175221418360,67,1,1,12,18,61,28,57,39,27,44,40,1.453610612892278,55
1,male,2,0,2,20210556997506,20210557799570,70,1,1,35,8,60,31,21,23,8,52,48,1.262078916832636,31
1,unknown,1,0,2,20213815749589,20213816404341,97,1,1,40,6,88,24,39,38,74,49,56,1.4842375454591923,13
2,unknown,2,2,0,20181444962425,20181445168981,30,1,1,7,8,11,26,13,10,8,28,15,0.624965536462812,45
1,unknown,3,2,2,20138248197803,20138248566631,50,1,1,32,11,5,38,8,6,15,37,6,0.7103463962748738,34
1,male,3,0,2,20140793856366,20140793912849,66,1,1,43,15,35,7,6,41,11,64,45,1.1995503810275734,15
2,unknown,3,3,0,20081201747344,20081202124408,2,1,1,7,15,1,0,0,1,0,1,1,1.058616657781959,91
0,female,1,2,1,20061890677287,20061891157769,87,1,1,34,11,51,44,46,18,8,57,55,0.9452946957795235,79
1,male,1,0,0,20010509120557,20010509246478,90,1,1,12,9,33,22,59,72,14,56,51,1.2770029782892047,5
1,male,1,3,0,20176608459960,20176608846613,10,1,1,47,8,2,7,0,4,7,8,6,1.1109141503157829,16
2,male,3,3,2,20078887822847,20078888159639,73,1,1,43,11,35,72,11,60,7,53,46,0.9694885725013557,65
0,male,2,0,3,20184459074552,20184459556279,78,1,1,12,14,4,33,65,7,30,75,57,1.151953556949596,73
2,male,1,1,0,20213616122846,20213616558548,79,1,1,37,7,14,71,69,46,67,34,34,0.7351379815114604,55
2,male,1,3,3,20141068955306,20141069455210,47,1,1,32,16,26,39,10,26,25,41,6,1.4639134720706353,15
2,male,1,0,3,20203920622188,20203920746217,46,1,1,38,7,40,44,33,44,19,38,9,1.1021254585457065,79
2,female,2,3,3,20198903646475,20198904545085,66,1,1,5,18,23,15,1,18,18,48,61,1.2241064028982835,88
1,unknown,2,1,3,20176677016634,20176677918026,1,1,1,28,4,0,0,0,0,0,0,0,0.71374366260075,5
2,male,2,1,1,20056496482284,20056497180689,90,1,1,44,8,16,33,10,64,4,13,3,1.4249682870350417,82
1,unknown,3,2,3,20071566271457,20071566387868,9,1,1,15,13,0,7,7,5,8,1,4,0.8987901649703192,46
1,male,1,2,3,20158703011478,20158703716733,75,1,1,13,2,28,24,74,30,29,52,9,1.4282724104930538,66
1,female,3,1,0,20099845082479,20099845161537,34,1,1,3,19,22,5,27,12,14,25,23,1.0483999078052308,59
1,female,1,1,0,20206035289584,20206035976482,61,1,1,21,15,49,44,8,53,46,10,17,1.0192692684103948,81
2,female,2,0,1,20025329886645,20025330025385,60,1,1,1,6,39,46,31,18,30,21,31,0.5641468120000348,83
2,unknown,1,2,3,20108058142684,20108059075810,49,1,1,43,7,35,36,0,46,37,8,33,0.9650489252793993,81
1,unknown,1,0,2,20117689158136,20117689565607,27,1,1,31,12,7,26,22,3,8,7,3,0.5368986724633007,11
2,male,3,1,3,20149644813707,20149645414023,4,1,1,14,4,1,2,1,1,3,2,1,1.1487224862348469,95
2,male,3,1,2,20149749427960,20149749841961,88,1,1,29,12,60,72,3,24,20,78,31,0.6443392411506811,30
1,male,2,0,1,20168267964260,20168268661566,77,1,1,12,11,37,16,42,30,18,38,68,1.091073425406819,10
1,unknown,2,0,2,20228161253901,20228161623560,61,1,1,18,11,18,44,6,25,3,6,46,0.8471568448586714,13
1,unknown,1,0,3,20008192347040,20008193131676,89,1,1,20,17,43,17,66,27,70,26,30,1.418625238273852,87
0,male,3,2,0,20229440207642,20229441168724,70,1,1,37,8,36,33,37,40,1,53,10,1.0826742378835492,25
1,male,2,1,2,20206406955859,20206407681681,64,1,1,15,11,48,10,31,33,49,22,46,1.2110955063712896,30
1,male,1,1,2,20221724770555,20221724927396,63,1,1,21,10,58,33,62,20,29,27,34,0.827301673063415,96
2,male,3,1,0,20166390895632,20166391060764,65,1,1,9,0,12,35,56,29,58,1,53,0.7313440440429876,31
2,female,2,0,0,20049644143647,20049644892568,70,1,1,33,5,51,8,43,42,56,47,21,0.899848848146936,63
1,male,3,3,2,20102769145136,20102769880113,79,1,1,7,13,8,55,41,48,8,50,51,1.2746252155344935,45
1,female,1,3,2,20036330716773,20036330984347,4,1,1,34,4,0,3,2,0,3,0,3,0.682365259762005,93
0,female,2,0,1,20006898696276,20006899251779,2,1,1,28,4,1,0,0,0,1,1,0,0.9093408996562546,86
2,male,2,3,1,20112927684475,20112928388934,64,1,1,3,12,1,12,28,16,16,26,63,1.3618907088824428,88
1,unknown,1,1,3,20226441612953,20226441951881,76,1,1,18,5,75,11,37,53,17,6,44,0.7613993197789876,86
2,male,1,3,1,20219185908276,20219186259655,76,1,1,31,10,54,0,45,28,41,10,6,1.458611862805364,8
1,female,2,1,0,20043871909484,20043872351113,49,1,1,31,3,11,32,48,27,2,29,19,1.1503284472138064,45
2,male,2,2,0,20045444412251,20045444503663,50,1,1,19,6,26,35,11,26,37,22,41,0.5405282749469801,91
0,female,2,2,3,20066597139515,20066597463468,8,1,1,43,18,0,5,1,1,1,4,1,0.7339717763978104,98
1,male,1,3,2,20150740873368,20150741173695,49,1,1,37,7,47,13,34,13,8,4,3,0.9632217761445513,54
2,male,1,3,0,20065640423775,20065640980226,97,1,1,30,7,38,25,60,61,74,73,10,0.9264762481679127,79
1,unknown,1,1,0,20127883003748,20127883689871,30,1,1,31,0,17,12,14,22,7,27,18,0.6857908015217532,73
0,male,2,2,2,20152450223100,20152450398641,54,1,1,35,7,28,7,28,52,36,13,11,0.9154689157945017,16
2,male,1,3,0,20087037281282,20087038049966,56,1,1,3,7,52,46,37,43,53,46,46,1.381408772191478,23
