gender,C_api,C_man,E_NEds,E_Bpag,firstDay,lastDay,NEds,NDays,NActDays,NPages,NPcreated,pagesWomen,wikiprojWomen,ns_user,ns_wikipedia,ns_talk,ns_userTalk,ns_content,weightIJ,NIJ
2,male,1,2,1,20005851349638,20005852210643,29,1,1,14,19,7,7,17,1,2,12,7,0.787988083208332,89
2,male,1,1,2,20084548323407,20084548545717,34,1,1,13,10,8,32,14,26,30,11,33,1.1313495378308849,29
2,female,2,1,2,20064832778010,20064833109190,78,1,1,21,17,23,37,27,68,25,16,72,1.1880572981313808,4
1,unknown,1,3,0,20125681406953,20125681799438,58,1,1,5,8,17,47,4,38,6,2,12,1.0059515329118076,35
0,male,2,2,0,20047557605333,20047558499676,24,1,1,7,13,18,4,6,15,14,10,14,1.3249393007754096,84
0,unknown,2,3,3,20050178488170,20050179389790,85,1,1,25,19,35,77,2,73,82,36,5,1.4515541891820314,39
0,male,2,0,1,20106000588660,20106000653420,31,1,1,3,18,13,1,17,15,5,9,22,0.8954237413272297,8
2,male,3,0,0,20021172950764,20021173554724,10,1,1,22,2,5,0,8,8,0,8,1,1.1329741161610674,60
1,unknown,2,0,0,20014464573976,20014465011629,25,1,1,49,9,17,2,19,9,14,18,8,0.61790775960631,63
0,unknown,1,2,2,20216079811952,20216079876944,24,1,1,23,9,22,19,5,18,2,0,4,1.4888867750160446,31
2,female,1,1,1,20040895573718,20040896476051,92,1,1,23,8,16,65,84,35,82,44,49,1.269958044777189,9
2,female,3,1,0,20207317568405,20207318107896,31,1,1,4,12,25,2,28,26,3,23,6,1.1968592994752139,49
1,male,1,1,2,20167554865169,20167555588039,16,1,1,31,12,5,15,5,14,0,15,5,1.1287210180353027,8
1,male,3,3,3,20174507846436,20174508588449,96,1,1,31,6,94,56,36,6,0,7,90,1.0017770155188035,68
2,male,1,0,1,20066226874826,20066227232178,48,1,1,19,11,17,39,20,4,6,35,40,1.003030883251777,71
2,male,1,0,2,20062403217806,20062403874347,61,1,1,39,7,46,60,41,39,2,23,34,0.5022028860846464,66
1,female,2,1,1,20187097561832,20187098470622,86,1,1,15,17,25,45,76,77,3,42,27,1.0135407290426723,36
0,male,2,2,1,20063851304464,20063851691753,29,1,1,34,15,5,2,2,11,14,22,12,0.542248351988745,7
1,female,2,1,1,20140264208323,20140264468257,63,1,1,19,19,37,21,35,34,32,16,62,0.5179068073516927,97
2,male,1,2,1,20070318233164,20070318577110,38,1,1,41,6,25,5,15,14,22,17,20,1.3005615651334264,78
2,female,1,3,3,20177149123665,20177149176586,61,1,1,2,14,55,42,45,34,2,15,0,0.6216568200102236,11
0,unknown,1,0,1,20062467591815,20062468379659,14,1,1,1,15,12,1,5,0,13,10,13,0.8509285773549068,23
1,male,3,0,3,20201089166913,20201089224857,81,1,1,26,4,46,75,5,39,73,36,15,0.8513843936611167,55
0,unknown,3,1,0,20126463031572,20126463893477,55,1,1,8,17,3,9,25,46,40,48,45,1.1059580944900524,72
2,female,1,1,0,20201346566279,20201346865597,47,1,1,49,14,38,16,35,19,9,19,34,0.7209245553681106,54
2,male,1,1,1,20178222349984,20178222712326,35,1,1,3,9,3,4,34,34,11,3,22,1.24405455456417,12
0,female,2,1,1,20107974027572,20107974168675,41,1,1,2,5,29,39,5,4,35,12,13,1.0743577946269536,70
2,unknown,2,0,1,20031790832852,20031791285864,36,1,1,36,13,35,15,30,19,24,9,20,1.0094051393175147,10
2,female,2,0,3,20001015712011,20001016154136,13,1,1,36,6,5,1,3,4,7,1,9,0.6526866344371909,98
2,male,1,1,0,20013397571586,20013398355268,48,1,1,18,19,18,1,18,13,30,36,9,0.8269810175541316,5
1,female,1,0,0,20128442135504,20128442553315,29,1,1,21,9,27,18,19,26,28,14,5,0.6559037315434357,80
2,female,1,1,0,20114166097536,20114166265233,15,1,1,25,10,5,14,3,12,13,6,7,0.7936886775891027,23
1,male,1,1,3,20152799258995,20152799778559,95,1,1,28,3,22,48,77,35,4,36,58,1.0472268158546494,32
1,female,1,0,2,20182596875614,20182597231770,2,1,1,49,7,0,0,0,1,1,1,0,0.6416683783673477,12
1,male,2,0,2,20038068022712,20038068683775,22,1,1,27,6,19,1,17,1,12,16,5,0.9913025312665973,91
1,unknown,1,0,3,20063895716963,20063895944220,42,1,1,23,4,1,11,35,13,8,16,8,1.4480472724216185,12
1,unknown,1,1,0,20105062226933,20105062346720,26,1,1,21,1,22,16,10,8,24,0,10,1.241091956549943,33
1,male,2,1,0,20144492844972,20144493300956,22,1,1,23,5,2,6,14,3,17,16,9,1.0761311736668366,63
1,female,1,0,3,20124166982753,20124167926451,87,1,1,49,9,62,29,73,84,43,83,82,1.4025808598743903,49
2,unknown,1,1,0,20134937594757,20134937869990,36,1,1,25,8,22,33,1,35,28,28,18,0.954278000004631,63
1,female,2,0,2,20213637652235,20213638050261,44,1,1,16,5,19,40,34,38,20,8,33,1.1271562834479245,79
1,male,2,3,1,20122305034146,20122305639999,76,1,1,43,5,51,41,57,43,28,28,67,1.4698722414486542,4
1,male,2,2,3,20079848534139,20079848991466,90,1,1,16,15,41,56,29,10,74,17,39,1.258437068244246,33
1,male,3,2,2,20112395925150,20112396033631,78,1,1,31,2,13,45,39,11,6,56,32,0.5205613048564004,12
0,male,2,0,2,20041694772404,20041694966750,77,1,1,41,19,58,0,70,29,74,51,37,1.062020257432519,35
0,unknown,1,2,0,20063618568476,20063619486139,80,1,1,39,3,26,7,77,11,31,43,57,0.7001223946146781,47
2,female,3,1,0,20007364258876,20007364690608,53,1,1,5,9,1,27,41,19,25,25,48,1.2035507507244123,83
2,unknown,1,2,0,20186068110987,20186068555467,60,1,1,31,16,43,30,29,57,16,4,16,1.0006879128112056,21
2,female,2,2,2,20190793911102,20190794094074,25,1,1,4,15,5,23,18,6,13,14,17,1.4265208974534274,63
2,female,3,0,1,20032642562516,20032643123018,24,1,1,20,16,2,21,2,16,17,6,13,0.6445096339427479,93
2,unknown,2,2,2,20192448193703,20192449037445,6,1,1,4,11,3,2,4,5,0,2,2,1.3193997511053943,43
0,female,1,2,1,20223918749984,20223919439897,17,1,1,18,16,16,1,6,15,14,10,7,0.9723674581791859,71
2,female,3,2,3,20013038155934,20013038980136,90,1,1,47,17,70,23,69,80,37,45,40,0.6737329519544222,80
1,male,1,1,3,20031369672893,20031370528012,61,1,1,12,12,26,21,33,32,30,32,16,0.7979118435713699,78
1,male,1,2,2,20218582983884,20218583483857,57,1,1,28,7,46,50,18,29,40,33,37,0.7822884865556341,3
2,unknown,1,3,0,20020786375412,20020786404625,65,1,1,7,0,1,46,2,14,4,58,26,0.5925813808866138,61
1,female,2,2,3,20223371159570,20223371195822,31,1,1,28,13,2,27,2,24,15,22,30,1.3572829298800895,87
0,female,3,3,2,20095918312365,20095919214775,60,1,1,34,18,14,0,1,21,35,44,36,0.5443343739213073,70
1,male,2,2,0,20202117363773,20202117397864,44,1,1,15,3,37,10,6,12,17,27,15,1.045228416647241,61
0,female,1,0,2,20213397607664,20213398526779,15,1,1,12,3,12,3,3,5,5,0,0,0.8691642351386735,49
2,female,1,2,3,20219612048232,20219612153041,33,1,1,12,8,16,5,32,15,13,0,24,1.3013635523551494,85
1,female,2,0,1,20227445288659,20227445441625,22,1,1,7,5,16,12,3,11,16,15,5,0.6142431870240664,9
